STAID,region,mean_var,id,values,variance_group
01013500,East,7.33,Snow fraction (% of days),32.5044490075291,< 10%
01013500,East,7.33,Aridity (PET/P),0.661460539816552,< 10%
01013500,East,7.33,Average annual daily temperature (C),1.43517806721039,< 10%
01013500,East,7.33,Average annual daily precipitation (mm),2.90771204654346,< 10%
01015800,East,7.33,Snow fraction (% of days),32.7909582477755,< 10%
01015800,East,7.33,Aridity (PET/P),0.65500131835212,< 10%
01015800,East,7.33,Average annual daily temperature (C),1.44897927563139,< 10%
01015800,East,7.33,Average annual daily precipitation (mm),2.93884668035592,< 10%
01017000,East,7.33,Snow fraction (% of days),32.5064818617385,< 10%
01017000,East,7.33,Aridity (PET/P),0.663897569167106,< 10%
01017000,East,7.33,Average annual daily temperature (C),1.44573102236989,< 10%
01017000,East,7.33,Average annual daily precipitation (mm),2.89937412731006,< 10%
01019000,East,7.33,Snow fraction (% of days),34.3307802874743,< 10%
01019000,East,7.33,Aridity (PET/P),0.596232764328688,< 10%
01019000,East,7.33,Average annual daily temperature (C),1.55764861530995,< 10%
01019000,East,7.33,Average annual daily precipitation (mm),3.23042108145106,< 10%
01022500,East,7.33,Snow fraction (% of days),31.4516495550993,< 10%
01022500,East,7.33,Aridity (PET/P),0.576266912695836,< 10%
01022500,East,7.33,Average annual daily temperature (C),1.57401266401221,< 10%
01022500,East,7.33,Average annual daily precipitation (mm),3.33993846680356,< 10%
01030500,East,7.33,Snow fraction (% of days),33.5415742642026,< 10%
01030500,East,7.33,Aridity (PET/P),0.610956087257255,< 10%
01030500,East,7.33,Average annual daily temperature (C),1.51822403939807,< 10%
01030500,East,7.33,Average annual daily precipitation (mm),3.15117255304586,< 10%
01031500,East,7.33,Snow fraction (% of days),31.7122792607803,< 10%
01031500,East,7.33,Aridity (PET/P),0.583380477454667,< 10%
01031500,East,7.33,Average annual daily temperature (C),1.48493182873347,< 10%
01031500,East,7.33,Average annual daily precipitation (mm),3.29929486652977,< 10%
01034000,East,7.33,Snow fraction (% of days),32.4118692612248,< 10%
01034000,East,7.33,Aridity (PET/P),0.580293465675186,< 10%
01034000,East,7.33,Average annual daily temperature (C),1.50252897036941,< 10%
01034000,East,7.33,Average annual daily precipitation (mm),3.35779353045236,< 10%
01034500,East,7.33,Snow fraction (% of days),32.0273716632444,< 10%
01034500,East,7.33,Aridity (PET/P),0.609852306422822,< 10%
01034500,East,7.33,Average annual daily temperature (C),1.47474980307057,< 10%
01034500,East,7.33,Average annual daily precipitation (mm),3.15633846680356,< 10%
01038000,East,7.33,Snow fraction (% of days),28.6901026694045,< 10%
01038000,East,7.33,Aridity (PET/P),0.592228315575234,< 10%
01038000,East,7.33,Average annual daily temperature (C),1.66785278608175,< 10%
01038000,East,7.33,Average annual daily precipitation (mm),3.25053107460643,< 10%
01042500,East,7.33,Snow fraction (% of days),30.6455441478439,< 10%
01042500,East,7.33,Aridity (PET/P),0.629075427191463,< 10%
01042500,East,7.33,Average annual daily temperature (C),1.4031772355484,< 10%
01042500,East,7.33,Average annual daily precipitation (mm),3.05340253251198,< 10%
01046500,East,7.33,Snow fraction (% of days),30.834887063655,< 10%
01046500,East,7.33,Aridity (PET/P),0.620825587269158,< 10%
01046500,East,7.33,Average annual daily temperature (C),1.39517290670834,< 10%
01046500,East,7.33,Average annual daily precipitation (mm),3.09395195071869,< 10%
01047000,East,7.33,Snow fraction (% of days),30.7217522245038,< 10%
01047000,East,7.33,Aridity (PET/P),0.533999290904196,< 10%
01047000,East,7.33,Average annual daily temperature (C),1.43973130852308,< 10%
01047000,East,7.33,Average annual daily precipitation (mm),3.59941724845996,< 10%
